time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,baseline,none,False,0.0,15.535072209212558,15.535072209212558,53.94876172807504,53.94876172807504,46.583285920530045,0.0,20.0,11.048213711317489,7.365475807544994,1.0,50.0,0.0,True,False,True,False,False,True
1,baseline,none,False,3.2720097399705024,13.253206101485679,16.52521584145618,54.239469164463735,54.239469164463735,47.15376783526071,0.0,20.0,10.628551993804532,7.085701329203022,1.0,50.0,0.0,True,False,True,False,False,True
2,baseline,none,False,0.21921840374487633,14.308947439972783,14.528165843717659,56.62587310984946,56.62587310984946,47.786790203396734,0.0,20.0,13.258624359679079,8.83908290645272,1.0,50.0,0.0,True,False,True,False,False,True
3,baseline,none,False,5.521203648901236,12.285851396392939,17.807055045294174,54.63378141519557,54.63378141519557,47.903090867235015,0.0,20.0,10.096035821940836,6.730690547960558,1.0,50.0,0.0,True,False,True,False,False,True
4,baseline,none,False,8.273553085627253,14.545296997965755,22.818850083593006,57.39406478490275,57.39406478490275,51.56397890437886,0.0,20.0,8.745128820785848,5.8300858805238995,1.0,50.0,0.0,True,False,True,False,False,True
5,baseline,none,False,6.709770625797063,12.605170115486168,19.31494074128323,55.10376355218928,55.10376355218928,48.78823442782686,0.0,20.0,9.473293686543629,6.315529124362419,1.0,50.0,0.0,True,False,True,False,False,True
6,baseline,none,False,7.03273074849251,13.267748195584407,20.300478944076914,55.490305519242774,55.490305519242774,49.41437488917643,0.0,20.0,9.113895945099516,6.075930630066344,1.0,50.0,0.0,True,False,True,False,False,True
7,baseline,none,False,9.289146101202597,18.21143631449566,27.500582415698258,58.69135816036245,58.69135816036245,53.700834041216176,0.0,18.714465446798513,7.4857861787194055,4.990524119146271,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
8,baseline,none,False,12.895228817614662,16.269119959268814,29.164348776883475,59.94730158909183,59.94730158909183,55.02202913913849,0.0,18.46977168732501,7.387908674930006,4.925272449953337,1.0,50.0,0.0,True,False,True,False,False,True
9,baseline,none,False,12.77185632732128,17.158324957878815,29.930181285200096,59.31440565315531,59.31440565315531,54.612929754282476,0.0,17.63053462077313,7.052213848309251,4.701475898872835,1.0,50.0,0.0,True,False,True,False,False,True
10,baseline,none,False,17.18267947749748,16.419750540139763,33.602430017637246,60.45815811339757,60.45815811339757,56.16124161807592,0.0,16.113436857456197,6.4453747429824775,4.2969164953216525,1.0,50.0,0.0,True,False,True,False,False,True
11,baseline,none,False,15.799847502147319,19.3397122406473,35.13955974279462,59.12775488293599,59.12775488293599,55.28964366051337,0.0,14.392917084084823,5.757166833633929,3.8381112224226195,1.0,50.0,0.0,True,False,True,False,False,True
12,baseline,none,False,17.189677537027755,16.078532204206706,33.26820974123446,61.04870121036952,61.04870121036952,56.60382257530791,0.0,16.66829488148104,6.667317952592415,4.4448786350616105,1.0,50.0,0.0,True,False,True,False,False,True
13,baseline,none,False,19.122260580512183,15.83868872348632,34.960949303998504,59.73659784500329,59.73659784500329,55.77249407844252,0.0,14.86538912460287,5.946155649841148,3.9641037665607657,1.0,50.0,0.0,True,False,True,False,False,True
14,baseline,none,False,17.442450989662625,17.487359371254264,34.92981036091689,60.61250762423125,60.61250762423125,56.50327606210095,0.0,15.409618357988615,6.163847343195447,4.109231562130298,1.0,50.0,0.0,True,False,True,False,False,True
15,baseline,none,False,21.65798699849131,16.930958234960997,38.58894523345231,59.80021563146349,59.80021563146349,56.4064123677817,0.0,12.726762238806709,5.090704895522683,3.3938032636817885,1.0,50.0,0.0,True,False,True,False,False,True
16,baseline,none,False,19.738210428486457,20.898701561030112,40.63691198951657,61.030044750340075,61.030044750340075,57.767143508608314,0.0,12.235879656494102,4.894351862597642,3.262901241731761,1.0,50.0,0.0,True,False,True,False,False,True
17,baseline,none,False,25.43452274756399,16.456026939392103,41.89054968695609,61.95924655927507,61.95924655927507,58.748255059704036,0.0,12.041218123391388,4.816487249356555,3.210991499571037,1.0,50.0,0.0,True,False,True,False,False,True
18,baseline,none,False,22.449241850789214,16.87235587970866,39.32159773049787,62.27129378218675,62.27129378218675,58.59934241391653,0.0,13.769817631013328,5.507927052405332,3.6719513682702214,1.0,50.0,0.0,True,False,True,False,False,True
19,baseline,none,False,24.154325849091396,19.544882988630622,43.69920883772202,63.44289853513023,63.44289853513023,60.283908183544916,0.0,11.846213818444928,4.738485527377971,3.158990351585315,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
20,baseline,none,False,27.39958595595143,21.114951153802366,48.514537109753796,60.193730829853415,60.193730829853415,58.32505983463748,0.0,7.007516232059771,2.8030064928239082,1.8686709952159393,1.0,50.0,0.0,True,False,True,False,False,True
21,baseline,none,False,25.74004113058379,16.666505084453064,42.406546215036855,63.181137672931776,63.181137672931776,59.85720303966859,0.0,12.464754874736952,4.985901949894781,3.323934633263188,1.0,50.0,0.0,True,False,True,False,False,True
22,baseline,none,False,28.74347940650837,19.727818954558266,48.47129836106664,62.471820727683316,62.471820727683316,60.231737149024646,0.0,8.400313419970006,3.360125367988003,2.2400835786586692,1.0,50.0,0.0,True,False,True,False,False,True
23,baseline,none,False,29.83603776282031,19.607532853785386,49.4435706166057,62.99894144939273,62.99894144939273,60.830082116146805,0.0,8.13322249967222,3.253288999868888,2.168859333245926,1.0,50.0,0.0,True,False,True,False,False,True
24,baseline,none,False,28.290439723539436,20.484412536631137,48.774852260170576,62.430766007049726,62.430766007049726,60.24581980754906,0.0,8.19354824812749,3.277419299250996,2.1849461995006645,1.0,50.0,0.0,True,False,True,False,False,True
25,baseline,none,False,27.33278175714345,18.373705273465195,45.70648703060864,63.2405005850552,63.2405005850552,60.43505841634375,0.0,10.520408132667935,4.208163253067174,2.8054421687114504,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
26,baseline,none,False,28.445705581579634,20.026723234298956,48.47242881587859,65.58198785101548,65.58198785101548,62.84445840539358,0.0,10.265735421082137,4.106294168432855,2.737529445621904,1.0,50.0,0.0,True,False,True,False,False,True
27,baseline,none,False,31.645256358709748,20.558396998789547,52.20365335749929,64.72400958844464,64.72400958844464,62.72075259149339,0.0,7.512213738567212,3.0048854954268847,2.0032569969512566,1.0,50.0,0.0,True,False,True,False,False,True
28,baseline,none,False,28.152140058855057,19.32639242897959,47.47853248783465,65.62202850599463,65.62202850599463,62.71906914308904,0.0,10.886097610895991,4.354439044358397,2.902959362905598,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
29,baseline,none,False,32.75983806100962,22.061015088368496,54.82085314937811,64.19204702645992,64.19204702645992,62.692656006126825,0.0,5.622716326249084,2.249086530499634,1.4993910203330896,1.0,50.0,0.0,True,False,True,False,False,True
30,baseline,none,False,27.880093590142756,17.578144741669583,45.45823833181234,65.28619836015481,65.28619836015481,62.11372475562002,0.0,11.896776017005484,4.7587104068021935,3.1724736045347965,1.0,50.0,0.0,True,False,True,False,False,True
31,baseline,none,False,31.31784287780287,21.506623735840723,52.824466613643594,66.45505281284888,66.45505281284888,64.27415902097603,0.0,8.17835171952317,3.271340687809268,2.1808937918728453,1.0,50.0,0.0,True,False,True,False,False,True
32,baseline,none,False,31.209672585187487,20.878681642394593,52.08835422758208,66.32833854059756,66.32833854059756,64.04994105051507,0.0,8.543990587809285,3.417596235123715,2.278397490082477,1.0,50.0,0.0,True,False,True,False,False,True
33,baseline,none,False,32.356961217138526,20.97102385040475,53.32798506754328,65.41378003240625,65.41378003240625,63.48005283802817,7.105427357601002e-15,7.251476978917782,2.900590791567113,1.9337271943780752,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
34,baseline,none,False,27.15923668611628,22.484355474994537,49.64359216111082,65.73574326838137,65.73574326838137,63.16099909121808,0.0,9.655290664362331,3.8621162657449326,2.574744177163289,1.0,50.0,0.0,True,False,True,False,False,True
35,baseline,none,False,26.472912309892394,18.165841002268724,44.638753312161114,64.29330686629186,64.29330686629186,61.14857829763094,0.0,11.792732132478445,4.717092852991379,3.144728568660919,1.0,50.0,0.0,True,False,True,False,False,True
36,baseline,none,False,28.944036916338103,21.409373770406617,50.35341068674472,64.54762334361027,64.54762334361027,62.276549318511776,7.105427357601002e-15,8.516527594119326,3.4066110376477314,2.2710740250984878,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
37,baseline,none,False,28.07978498561592,20.142669764288296,48.222454749904216,63.74467956325083,63.74467956325083,61.261123593115364,7.105427357601002e-15,9.313334888007967,3.7253339552031863,2.4835559701354577,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
38,baseline,none,False,26.672448196394125,18.922802451362276,45.5952506477564,65.97859736646097,65.97859736646097,62.71726189146824,0.0,12.230008031222743,4.892003212489097,3.261335474992732,1.0,50.0,0.0,True,False,True,False,False,True
39,baseline,none,False,29.082462786102187,17.64614405507934,46.72860684118153,65.46754890742702,65.46754890742702,62.46931817682774,0.0,11.243365239747291,4.497346095898917,2.9982307305992775,1.0,50.0,0.0,True,False,True,False,False,True
40,baseline,none,False,23.671909995765226,18.57557024165481,42.247480237420035,66.3659100436639,66.3659100436639,62.50696127466488,0.0,14.471057883746319,5.788423153498528,3.85894876899902,1.0,50.0,0.0,True,False,True,False,False,True
41,baseline,none,False,26.649661620335813,21.15677764824715,47.80643926858296,64.4961597532897,64.4961597532897,61.825804475736625,0.0,10.013832290824043,4.005532916329618,2.670355277553079,1.0,50.0,0.0,True,False,True,False,False,True
42,baseline,none,False,26.74139195496934,18.886772753168753,45.628164708138094,65.95975389622086,65.95975389622086,62.706699626127616,0.0,12.19895351284966,4.879581405139864,3.2530542700932434,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
43,baseline,none,False,22.346119572701774,21.5982516208053,43.944371193507074,66.75357711272943,66.75357711272943,63.10410416565385,0.0,13.685523551533414,5.474209420613366,3.6494729470755773,1.0,50.0,0.0,True,False,True,False,False,True
44,baseline,none,False,19.765466422016612,18.270990532179844,38.03645695419645,65.05161909783793,65.05161909783793,60.729193154855295,0.0,16.209097286184885,6.483638914473954,4.322425942982636,1.0,50.0,0.0,True,False,True,False,False,True
45,baseline,none,False,24.158311144673746,20.024262311578404,44.18257345625215,64.78504071862285,64.78504071862285,61.48864595664354,0.0,12.36148035742242,4.944592142968968,3.296394761979313,1.0,50.0,0.0,True,False,True,False,False,True
46,baseline,none,False,18.145512402553567,19.668238706160096,37.81375110871366,62.7391135914101,62.7391135914101,58.75105559417867,0.0,14.955217489617866,5.982086995847146,3.988057997231431,1.0,50.0,0.0,True,False,True,False,False,True
