time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,cmd_injection_attack,cmd_injection,False,0.855911484041652,11.177667842507358,12.03357932654901,56.404613680151556,56.404613680151556,46.656199938710536,0.0,20.0,14.622620612161526,9.74841374144102,1.0,50.0,0.0,True,False,True,False,False,True
1,cmd_injection_attack,cmd_injection,False,0.0,17.069062179118486,17.069062179118486,54.425561128935946,54.425561128935946,47.48296154900896,0.0,20.0,10.413899369890478,6.942599579926986,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
2,cmd_injection_attack,cmd_injection,False,0.3509747907393601,15.883287894936945,16.234262685676306,54.03346911027112,54.03346911027112,46.91378654043319,0.0,20.0,10.679523854756889,7.119682569837925,1.0,50.0,0.0,True,False,True,False,False,True
3,cmd_injection_attack,cmd_injection,False,7.633158558935436,12.892134306150805,20.52529286508624,54.96172802781858,54.96172802781858,49.187153962725645,0.0,20.0,8.661861097639402,5.774574065092935,1.0,50.0,0.0,True,False,True,False,False,True
4,cmd_injection_attack,cmd_injection,False,4.624132923272654,15.972444262342664,20.596577185615317,55.395823443536266,55.395823443536266,49.47612494036788,0.0,20.0,8.879547754752569,5.91969850316838,1.0,50.0,0.0,True,False,True,False,False,True
5,cmd_injection_attack,cmd_injection,False,6.336640598091961,16.904831731297538,23.2414723293895,58.4207206999066,58.4207206999066,52.349021351699754,7.105427357601002e-15,20.0,9.10754902231026,6.07169934820684,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
6,cmd_injection_attack,cmd_injection,False,11.000467999576895,17.542635323901436,28.54310332347833,55.91318998130544,55.91318998130544,51.533976116053104,0.0,16.422051994696268,6.568820797878506,4.379213865252338,1.0,50.0,0.0,True,False,True,False,False,True
7,cmd_injection_attack,cmd_injection,False,8.757190913767152,17.65487621271525,26.412067126482405,59.136070758521605,59.136070758521605,53.90023017739533,0.0,19.634402179223517,7.853760871689409,5.235840581126273,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
8,cmd_injection_attack,cmd_injection,False,10.311476549185732,16.210275685584506,26.52175223477024,59.79787137186822,59.79787137186822,54.473692309932545,0.0,19.965671482258788,7.986268592903514,5.324179061935677,1.0,50.0,0.0,True,False,True,False,False,True
9,cmd_injection_attack,cmd_injection,False,16.076085324324076,17.324701018484344,33.400786342808416,59.37681823393132,59.37681823393132,55.22065313135165,0.0,15.58561913467374,6.234247653869496,4.156165102579664,1.0,50.0,0.0,True,False,True,False,False,True
