time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,dos_delay_attack,dos_delay,False,0.9447237969470148,12.984407344054674,13.929131141001688,56.75682387499148,56.75682387499148,47.62574678139556,0.0,20.0,13.696615640393874,9.131077093595918,1.0,50.0,0.0,False,False,False,True,False,True
1,dos_delay_attack,dos_delay,False,2.887038670437028,13.182347018665107,16.069385689102134,54.58817077049263,54.58817077049263,47.18065673793643,0.0,20.0,11.111271048834299,7.407514032556199,1.0,50.0,0.0,False,False,False,True,False,True
2,dos_delay_attack,dos_delay,False,5.4723736821775315,15.399405960501422,20.871779642678952,55.484346649075874,56.75682387499148,46.353269555479955,0.0,20.0,13.696615640393874,9.131077093595918,1.0410756286379643,50.24645377182779,8.21512572759287,True,False,True,False,False,True
3,dos_delay_attack,dos_delay,False,2.5873776762407905,13.35061675149442,15.937994427735209,57.29150048913697,54.58817077049263,47.0492654765695,2.8347209800112694,20.0,11.111271048834299,7.407514032556199,0.9858263950999436,49.91495837059966,-2.8347209800112694,True,False,True,False,False,True
4,dos_delay_attack,dos_delay,False,3.936546945045285,17.466222466279454,21.40276941132474,57.574961861733975,55.484346649075874,50.17030961516289,1.5596254440123118,20.0,8.767540203838154,5.845026802558769,0.9922018727799384,49.95321123667963,-1.5596254440123118,True,False,True,False,False,True
5,dos_delay_attack,dos_delay,False,7.419329982428499,18.09788420812568,25.517214190554178,58.08618899415603,57.29150048913697,49.54478656959533,0.0,20.0,12.812103636841055,8.541402424560705,1.0439226562889994,50.263535937734,8.784531257799898,True,False,True,False,False,True
6,dos_delay_attack,dos_delay,False,9.919169710438979,12.95515784983184,22.87432756027082,55.5892873197315,57.574961861733975,49.120410339567805,0.0,20.0,9.70331547024554,6.468876980163694,1.0172861634547428,50.10371698072846,3.4572326909485582,True,False,True,False,False,True
7,dos_delay_attack,dos_delay,False,9.454106673625535,18.038233698366064,27.4923403719916,56.19273134619579,58.08618899415603,50.981695377619495,0.0,19.54138488216111,7.816553952864446,5.211035968576297,1.0193429191469883,50.11605751488193,3.8685838293976644,True,False,True,False,False,True
8,dos_delay_attack,dos_delay,False,14.63443472122468,15.901164473101254,30.535599194325933,58.72436852471445,55.5892873197315,53.48997496320074,0.0,19.628975855676405,7.851590342270562,5.234393561513709,1.022630952145361,50.13578571287216,4.526190429072166,True,False,True,False,False,True
9,dos_delay_attack,dos_delay,False,13.572085037783783,14.598353229214643,28.170438266998424,56.844110836397334,56.19273134619579,52.25204828052466,0.0,17.220234584522515,6.888093833809006,4.592062555872672,1.0001335920240264,50.00080155214416,0.026718404805286866,True,False,True,False,False,True
