time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,dos_drop_attack,dos_drop,False,1.2775608505441758,13.400446098038751,14.678006948582926,53.71299303450197,53.71299303450197,46.09899860013435,0.0,20.0,11.420991651551427,7.613994434367617,1.0,50.0,0.0,False,False,False,True,False,True
1,dos_drop_attack,dos_drop,False,4.500934805607464,12.265060553397138,16.765995359004602,55.78098948958302,55.78098948958302,48.174991837351655,0.0,20.0,11.40899647834705,7.605997652231366,1.0,50.0,0.0,True,False,True,False,False,True
2,dos_drop_attack,dos_drop,False,1.7178978839330707,16.266357052617032,17.9842549365501,55.760282230612674,55.760282230612674,48.64987131298764,0.0,20.0,10.665616376437542,7.11041091762503,1.0,50.0,0.0,True,False,True,False,False,True
3,dos_drop_attack,dos_drop,False,4.288208812664751,13.433708584037253,17.721917396702004,56.99494505590175,56.99494505590175,49.28573399222185,0.0,20.0,11.563816595519848,7.7092110636799,1.0,50.0,0.0,True,False,True,False,False,True
4,dos_drop_attack,dos_drop,False,5.795274650902467,12.831898782637538,18.627173433540005,55.90331862465094,55.90331862465094,48.992860548206565,0.0,20.0,10.365687114666565,6.910458076444376,1.0,50.0,7.105427357601002e-15,False,False,False,True,False,True
5,dos_drop_attack,dos_drop,False,9.788151249550753,17.84795020308667,27.63610145263742,55.99527501065361,55.99527501065361,51.457807241371015,0.0,17.015504134809714,6.8062016539238845,4.53746776928259,1.0,50.0,7.105427357601002e-15,False,False,False,True,False,True
6,dos_drop_attack,dos_drop,False,11.834780605434768,17.632280538530843,29.46706114396561,58.42319772341062,58.42319772341062,53.79021587069941,0.0,17.373681947667006,6.949472779066801,4.632981852711201,1.0,50.0,7.105427357601002e-15,False,False,False,True,False,True
7,dos_drop_attack,dos_drop,False,10.572331880604457,18.885266226170998,29.457598106775457,56.06063681232937,56.06063681232937,51.80415061944074,7.105427357601002e-15,15.961823223332347,6.38472928933294,4.256486192888627,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
8,dos_drop_attack,dos_drop,False,9.649661797088413,13.684822906975215,23.334484704063627,58.010147352413085,58.010147352413085,52.1398822930733,0.0,20.0,8.805397589009674,5.8702650593397845,1.0,50.0,0.0,True,False,True,False,False,True
9,dos_drop_attack,dos_drop,False,15.705436769617103,18.442598890506602,34.1480356601237,56.69061231443107,56.69061231443107,53.08380004974189,7.105427357601002e-15,13.525545992584421,5.410218397033768,3.6068122646891787,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
10,dos_drop_attack,dos_drop,False,15.523419455227824,19.657593403743988,35.18101285897181,57.56444554363725,57.56444554363725,53.98309631409078,0.0,13.430059610799262,5.372023844319704,3.58134922954647,1.0,50.0,0.0,True,False,True,False,False,True
11,dos_drop_attack,dos_drop,False,17.62414877410358,16.373282281048404,33.997431055151985,58.10905802313561,58.10905802313561,54.25119770825823,0.0,14.466976180790175,5.78679047231607,3.8578603148773807,1.0,50.0,0.0,True,False,True,False,False,True
12,dos_drop_attack,dos_drop,False,16.143935392873615,18.597795067671065,34.74173046054468,60.803647057293894,60.803647057293894,56.633740401814016,0.0,15.637149958049527,6.254859983219812,4.169906655479875,1.0,50.0,0.0,False,False,False,True,False,True
13,dos_drop_attack,dos_drop,False,17.334263334189593,15.83689410574534,33.17115743993493,58.8572164227511,58.8572164227511,54.74744698550051,7.105427357601002e-15,15.411635389689701,6.164654155875882,4.109769437250588,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
14,dos_drop_attack,dos_drop,False,17.413889650102774,17.76542387879631,35.17931352889909,59.501153830190376,59.501153830190376,55.60965938198377,0.0,14.593104180774773,5.837241672309909,3.8914944482066067,1.0,50.0,0.0,False,False,False,True,False,True
15,dos_drop_attack,dos_drop,False,20.66212272093799,18.698417378141585,39.36054009907957,61.85067761437335,61.85067761437335,58.252255611926344,0.0,13.494082509176268,5.397633003670508,3.5984220024470055,1.0,50.0,0.0,True,False,True,False,False,True
16,dos_drop_attack,dos_drop,False,20.54134574611441,20.79792336930718,41.33926911542159,62.44022443202979,62.44022443202979,59.064071581372474,0.0,12.66057318996492,5.064229275985968,3.376152850657312,1.0,50.0,0.0,True,False,True,False,False,True
17,dos_drop_attack,dos_drop,False,25.941718217180824,21.35640513385792,47.29812335103874,59.36358551094896,59.36358551094896,57.433111565363326,0.0,7.239277295946131,2.895710918378452,1.9304739455856352,1.0,50.0,0.0,False,False,False,True,False,True
18,dos_drop_attack,dos_drop,False,24.016407281129514,16.559841395421785,40.5762486765513,60.00919525151011,60.00919525151011,56.8999237995167,0.0,11.659767944975282,4.663907177990113,3.1092714519934095,1.0,50.0,0.0,True,False,True,False,False,True
19,dos_drop_attack,dos_drop,False,28.03820409863505,18.00882032636079,46.04702442499584,59.92602747741212,59.92602747741212,57.70538698902551,0.0,8.327401831449768,3.3309607325799075,2.220640488386605,1.0,50.0,7.105427357601002e-15,True,False,True,False,False,True
20,dos_drop_attack,dos_drop,False,23.04358715185605,17.809823314972785,40.853410466828834,60.93093263674594,60.93093263674594,57.718529089559205,0.0,12.046513301950265,4.818605320780107,3.212403547186738,1.0,50.0,0.0,True,False,True,False,False,True
21,dos_drop_attack,dos_drop,False,24.935974914629732,16.757152059079633,41.69312697370937,61.15033319642442,61.15033319642442,58.03718020079001,0.0,11.67432373362903,4.669729493451612,3.113152995634408,1.0,50.0,0.0,True,False,True,False,False,True
22,dos_drop_attack,dos_drop,False,25.1875278415403,17.913031039626738,43.10055888116704,62.0843823450379,62.0843823450379,59.04697059081856,0.0,11.390294078322517,4.556117631329007,3.037411754219338,1.0,50.0,7.105427357601002e-15,False,False,False,True,False,True
23,dos_drop_attack,dos_drop,False,26.765347890767558,17.06836499316178,43.83371288392934,63.689630197020136,63.689630197020136,60.512683426925605,0.0,11.91355038785448,4.765420155141792,3.1769467700945277,1.0,50.0,0.0,True,False,True,False,False,True
24,dos_drop_attack,dos_drop,False,30.68824351139012,19.26284618949971,49.95108970088983,64.92173979371219,64.92173979371219,62.52643577886061,7.105427357601002e-15,8.982390055693417,3.592956022277366,2.3953040148515776,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
25,dos_drop_attack,dos_drop,False,28.998176596866813,17.865423004819025,46.863599601685834,65.4044654477845,65.4044654477845,62.43792691240871,0.0,11.124519507659201,4.44980780306368,2.966538535375787,1.0,50.0,0.0,False,False,False,True,False,True
26,dos_drop_attack,dos_drop,False,28.933754390660795,18.906215872030632,47.83997026269142,62.26751368314023,62.26751368314023,59.95910673586842,0.0,8.656526052269284,3.4626104209077138,2.308406947271809,1.0,50.0,7.105427357601002e-15,False,False,False,True,False,True
27,dos_drop_attack,dos_drop,False,32.0690986156524,16.879635748594524,48.948734364246924,64.84698876831604,64.84698876831604,62.30326806366498,0.0,9.538952642441467,3.815581056976588,2.543720704651059,1.0,50.0,0.0,True,False,True,False,False,True
28,dos_drop_attack,dos_drop,False,31.534638098210063,21.6848670615936,53.21950515980366,63.27655193913389,63.27655193913389,61.66742445444105,7.105427357601002e-15,6.034228067598137,2.413691227039255,1.609127484692837,1.0,50.0,-7.105427357601002e-15,True,False,True,False,False,True
29,dos_drop_attack,dos_drop,False,30.245342872085637,20.31291042819156,50.5582533002772,63.555575812184266,63.555575812184266,61.476004210279136,0.0,7.7983935071442385,3.1193574028576956,2.0795716019051307,1.0,50.0,0.0,True,False,True,False,False,True
30,dos_drop_attack,dos_drop,False,31.907121167273967,21.69568589092205,53.60280705819602,62.749007785213976,62.749007785213976,61.285615668891104,0.0,5.487720436210773,2.1950881744843094,1.4633921163228734,1.0,50.0,0.0,False,False,False,True,False,True
31,dos_drop_attack,dos_drop,False,29.62754550202282,21.88221297888547,51.50975848090829,65.945259054196,65.945259054196,63.635578962469964,0.0,8.661300343972627,3.4645201375890506,2.309680091726034,1.0,50.0,0.0,True,False,True,False,False,True
32,dos_drop_attack,dos_drop,False,30.187762117397963,19.819385188863656,50.007147306261615,64.60689927629564,64.60689927629564,62.270938961090195,0.0,8.759851182020412,3.5039404728081647,2.3359603152054436,1.0,50.0,0.0,True,False,True,False,False,True
33,dos_drop_attack,dos_drop,False,28.248758468689097,19.990414400956215,48.239172869645316,64.91870175191826,64.91870175191826,62.249977130754594,0.0,10.007717329363768,4.003086931745508,2.6687246211636717,1.0,50.0,0.0,True,False,True,False,False,True
