time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,fdi_attack,fdi,False,0.0,13.405303141126799,13.405303141126799,53.72435021409497,60.86599678226953,43.72435021409497,0.0,20.0,15.0,10.0,1.0234047646351592,50.14042858781095,4.680952927031832,True,True,False,False,False,True
1,fdi_attack,fdi,False,0.0,15.226209456091942,15.226209456091942,56.56462859623408,64.51270772400176,46.56462859623408,0.0,20.0,15.0,10.0,1.0183079042992893,50.109847425795735,3.661580859857864,True,True,False,False,False,True
2,fdi_attack,fdi,False,1.3165810606799297,14.351388222442885,15.667969283122815,56.51270442773348,64.46875136352728,46.51270442773348,0.0,20.0,15.0,10.0,1.0207763242769468,50.12465794566168,4.155264855389333,True,True,False,False,False,True
3,fdi_attack,fdi,False,1.873040534045923,16.351282607808923,18.224323141854846,58.18050918180203,66.18165139240487,48.18050918180203,0.0,20.0,15.0,10.0,1.0252190698002641,50.15131441880158,5.043813960052816,True,True,False,False,False,True
4,fdi_attack,fdi,False,5.631993954074655,13.281505789829694,18.91349974390435,57.083240219418975,63.98723997124203,47.083240219418975,0.0,20.0,15.0,10.0,1.034151297622427,50.20490778573456,6.830259524485378,True,True,False,False,False,True
5,fdi_attack,fdi,False,10.015630604831,13.63337909493423,23.64900969976523,56.2267017788203,63.4281763661777,48.31503511225531,0.0,20.0,11.867499999847483,7.911666666564988,1.036007372936787,50.21604423762072,7.201474587357403,True,True,False,False,False,True
6,fdi_attack,fdi,False,10.12879807164632,16.165039967884656,26.293838039530975,56.20448910892183,64.62075176008823,48.873723620698925,0.0,20.0,10.99614823233435,7.3307654882229,1.042081313255832,50.25248787953499,8.416262651166399,True,True,False,False,False,True
7,fdi_attack,fdi,False,10.9484601602929,15.181868513780586,26.130328674073485,58.4534194882261,64.97653442638402,50.91493718730189,0.0,20.0,11.307723451386323,7.5384823009242155,1.0326155746907897,50.19569344814474,6.523114938157917,True,True,False,False,False,True
8,fdi_attack,fdi,False,11.586668343191786,15.168607665245156,26.755276008436944,58.17676316187695,66.82582515454399,50.14854350343413,0.0,20.0,12.042329487664228,8.02821965844282,1.0432453099633352,50.259471859780014,8.649061992667043,True,True,False,False,False,True
9,fdi_attack,fdi,False,13.756893220694646,16.68808666446316,30.444979885157807,58.889463080877135,65.01329240184866,53.062138074200796,0.0,20.0,8.740987510014511,5.827325006676341,1.0306191466048575,50.18371487962914,6.123829320971524,True,True,False,False,False,True
