time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,secured_cmd_injection,cmd_injection,True,1.2285125778333672,16.18018634452058,17.408698922353945,56.78839132418805,56.78839132418805,49.0365143634544,0.0,20.0,11.627815441100463,7.751876960733643,1.0,50.0,1.4210854715202004e-14,True,False,False,True,True,True
1,secured_cmd_injection,cmd_injection,True,0.0,12.027193629393457,12.027193629393457,56.76556398015809,56.76556398015809,46.870215839852236,0.0,20.0,14.843022210458779,9.895348140305854,1.0,50.0,0.0,True,False,False,True,True,True
2,secured_cmd_injection,cmd_injection,True,0.6409343540407741,16.129456498838685,16.77039085287946,54.494957125410174,54.494957125410174,47.405130616397884,0.0,20.0,10.634739763518429,7.089826509012287,1.0,50.0,0.0,True,False,False,True,True,True
3,secured_cmd_injection,cmd_injection,True,3.2269200623117316,14.981703074152671,18.208623136464404,56.675999418321695,56.675999418321695,49.28904890557878,0.0,20.0,11.080425769114374,7.386950512742917,1.0,50.0,0.0,True,False,False,True,True,True
4,secured_cmd_injection,cmd_injection,True,7.429657838762408,17.435964840356114,24.865622679118523,57.96165371973653,57.96165371973653,52.66628875323765,0.0,19.857618624370804,7.943047449748322,5.295364966498882,1.0,50.0,0.0,True,False,False,True,True,True
5,secured_cmd_injection,cmd_injection,True,6.360482836977682,13.336112653612137,19.696595490589818,57.05438184368381,57.05438184368381,50.11126730244621,0.0,20.0,10.41467181185639,6.943114541237595,1.0,50.0,0.0,True,False,False,True,True,True
6,secured_cmd_injection,cmd_injection,True,9.57781730445588,14.266580951307757,23.844398255763636,55.904833193573154,55.904833193573154,50.77516360352362,7.105427357601002e-15,19.23626096268571,7.694504385074286,5.129669590049524,1.0,50.0,-7.105427357601002e-15,True,False,False,True,True,True
7,secured_cmd_injection,cmd_injection,True,11.385322703223194,18.919669736972732,30.304992440195925,56.8377164685621,56.8377164685621,52.59248062402351,0.0,15.919634417019704,6.367853766807882,4.2452358445385885,1.0,50.0,0.0,True,False,False,True,True,True
8,secured_cmd_injection,cmd_injection,True,9.373473289037914,18.431866506449694,27.80533979548761,59.25109076848068,59.25109076848068,54.21977061280179,0.0,18.867450583795843,7.546980233518337,5.031320155678891,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
9,secured_cmd_injection,cmd_injection,True,11.525885618079588,13.82899696271186,25.354882580791447,59.43155830951854,59.43155830951854,53.800888018027706,0.0,20.0,8.446005437236257,5.630670291490839,1.0,50.0,0.0,True,False,False,True,True,True
10,secured_cmd_injection,cmd_injection,True,15.266299254568306,17.563052220798504,32.829351475366806,57.35422876011327,57.35422876011327,53.430248394553836,0.0,14.714926370847879,5.885970548339152,3.9239803655594354,1.0,50.0,0.0,True,False,False,True,True,True
11,secured_cmd_injection,cmd_injection,True,14.200227461757397,16.310495576912977,30.510723038670374,58.563915061017525,58.563915061017525,54.07540433744198,0.0,16.83191521340829,6.732766085363316,4.488510723575544,1.0,50.0,0.0,True,False,False,True,True,True
12,secured_cmd_injection,cmd_injection,True,18.103103725267758,18.842861723696974,36.94596544896473,57.90377709053426,57.90377709053426,54.55052722788314,0.0,12.57468698494172,5.029874793976688,3.3532498626511256,1.0,50.0,0.0,True,False,False,True,True,True
