time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,secured_dos_delay,dos_delay,True,0.0,11.110908981313512,11.110908981313512,53.152884846088774,53.152884846088774,44.33609450017867,0.0,20.0,13.225185518865155,8.816790345910105,1.0,50.0,0.0,False,False,False,True,False,True
1,secured_dos_delay,dos_delay,True,1.0479530983344416,12.982224697492516,14.030177795826958,55.73595453979605,55.73595453979605,47.05364384220841,0.0,20.0,13.023466046381452,8.682310697587637,1.0,50.0,0.0,False,False,False,True,False,True
2,secured_dos_delay,dos_delay,True,5.989123691223959,11.746703534970548,17.73582722619451,55.115483087042215,55.115483087042215,48.16362074270313,0.0,20.0,10.427793516508624,6.951862344339082,1.0,50.0,0.0,True,False,False,True,True,True
3,secured_dos_delay,dos_delay,True,1.7834696135619366,17.26782665566103,19.051296269222966,58.155023315438264,58.155023315438264,50.513532496952145,0.0,20.0,11.462236227729178,7.641490818486119,1.0,50.0,0.0,True,False,False,True,True,True
4,secured_dos_delay,dos_delay,True,8.032968405387246,16.632726639091477,24.665695044478724,56.07345737419377,56.07345737419377,51.048215401439364,0.0,18.844657397829028,7.537862959131612,5.025241972754408,1.0,50.0,0.0,True,False,False,True,True,True
5,secured_dos_delay,dos_delay,True,10.610407044476322,13.27394607698706,23.884353121463384,57.41228997050719,57.41228997050719,52.00111523088967,0.0,20.0,8.116762109426283,5.411174739617522,1.0,50.0,0.0,True,False,False,True,True,True
6,secured_dos_delay,dos_delay,True,8.65735577025025,14.14059737581246,22.79795314606271,58.34949498626653,58.34949498626653,52.128878250185,0.0,20.0,9.33092510412229,6.220616736081528,1.0,50.0,0.0,True,False,False,True,True,True
7,secured_dos_delay,dos_delay,True,10.385263492423807,14.99719410974899,25.3824576021728,56.85050151364412,56.85050151364412,51.81561448780871,0.0,18.88082634688279,7.552330538753116,5.0348870258354115,1.0,50.0,0.0,True,False,False,True,True,True
8,secured_dos_delay,dos_delay,True,9.911243870011695,18.302953149096915,28.21419701910861,59.03448254459839,59.03448254459839,54.10323686052003,0.0,18.492171315293866,7.396868526117547,4.931245684078366,1.0,50.0,0.0,True,False,False,True,True,True
9,secured_dos_delay,dos_delay,True,12.168969641229374,15.763042312461788,27.932011953691163,60.51790192635067,60.51790192635067,55.304159530725144,0.0,19.5515339835957,7.8206135934382806,5.213742395625521,1.0,50.0,0.0,True,False,False,True,True,True
10,secured_dos_delay,dos_delay,True,16.992093211018723,19.56006952263356,36.55216273365228,58.24238972315258,58.24238972315258,54.77195340483253,0.0,13.014136193700176,5.2056544774800715,3.470436318320048,1.0,50.0,0.0,True,False,False,True,True,True
11,secured_dos_delay,dos_delay,True,15.269775635066793,15.856468934080501,31.126244569147296,57.467054865711006,57.467054865711006,53.25252521826081,7.105427357601002e-15,15.804486177938225,6.3217944711752905,4.2145296474501945,1.0,50.0,-7.105427357601002e-15,True,False,False,True,True,True
12,secured_dos_delay,dos_delay,True,16.555248074005046,14.928591861444644,31.48383993544969,61.56574085285624,61.56574085285624,56.752636706071186,0.0,18.049140550443926,7.219656220177572,4.813104146785048,1.0,50.0,0.0,True,False,False,True,True,True
13,secured_dos_delay,dos_delay,True,18.091009154038627,20.358917765838918,38.44992691987754,59.58715587757548,59.58715587757548,56.20519924434381,0.0,12.682337374618765,5.0729349498475065,3.3819566332316713,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
14,secured_dos_delay,dos_delay,True,21.297974450755486,16.85121045006432,38.149184900819805,61.29712673598194,61.29712673598194,57.593456042355996,0.0,13.888765101097281,5.555506040438913,3.7036706936259423,1.0,50.0,0.0,True,False,False,True,True,True
15,secured_dos_delay,dos_delay,True,19.24558721644049,20.7107753743371,39.95636259077759,60.487333668018266,60.487333668018266,57.202378295659756,0.0,12.318582646344407,4.927433058537763,3.2849553723585094,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
16,secured_dos_delay,dos_delay,True,22.437601665960244,16.34104639811296,38.77864806407321,60.6647625712562,60.6647625712562,57.162984250106916,0.0,13.131668704309792,5.252667481723917,3.5017783211492786,1.0,50.0,0.0,True,False,False,True,True,True
17,secured_dos_delay,dos_delay,True,23.90599595873222,20.454878313407413,44.36087427213963,61.864681289522466,61.864681289522466,59.06407216674121,0.0,10.5022842104297,4.20091368417188,2.8006091227812533,1.0,50.0,0.0,True,False,False,True,True,True
18,secured_dos_delay,dos_delay,True,24.545285270362566,19.30844009979842,43.85372537016099,60.59518481612427,60.59518481612427,57.91655130477014,0.0,10.044875667577967,4.017950267031187,2.678633511354125,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
19,secured_dos_delay,dos_delay,True,22.880222325341848,19.7166811702391,42.596903495580946,62.77874647455172,62.77874647455172,59.549651597916395,0.0,12.109105787382463,4.843642314952985,3.2290948766353234,1.0,50.0,0.0,True,False,False,True,True,True
20,secured_dos_delay,dos_delay,True,27.764527298947403,17.41620473296667,45.180732031914076,60.83346103258028,60.83346103258028,58.32902439247369,0.0,9.391637400399723,3.756654960159889,2.504436640106593,1.0,50.0,0.0,True,False,False,True,True,True
21,secured_dos_delay,dos_delay,True,29.580011996880145,20.74816294483795,50.328174941718096,61.46349975419522,61.46349975419522,59.68184778419888,0.0,6.681194887486273,2.6724779549945095,1.7816519699963398,1.0,50.0,0.0,True,False,False,True,True,True
22,secured_dos_delay,dos_delay,True,27.311029405250732,19.765360927849645,47.07639033310038,64.21024595577211,64.21024595577211,61.46882905614463,0.0,10.280313373603038,4.112125349441216,2.7414168996274775,1.0,50.0,0.0,True,False,False,True,True,True
23,secured_dos_delay,dos_delay,True,27.374259092435732,21.491248586432825,48.86550767886855,61.080151860847295,61.080151860847295,59.1258087917307,0.0,7.328786509187244,2.931514603674898,1.9543430691165988,1.0,50.0,0.0,True,False,False,True,True,True
24,secured_dos_delay,dos_delay,True,26.754288574676536,22.325102870310836,49.07939144498737,63.96167310759155,63.96167310759155,61.58050804157488,0.0,8.929368997562507,3.5717475990250027,2.3811650660166683,1.0,50.0,0.0,True,False,False,True,True,True
25,secured_dos_delay,dos_delay,True,26.35358207755714,18.54879914626534,44.90238122382247,65.11054924516571,65.11054924516571,61.877242361750795,0.0,12.124900812805944,4.849960325122378,3.233306883414919,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
26,secured_dos_delay,dos_delay,True,32.221193195213445,18.057037719432582,50.27823091464603,61.75137731201774,61.75137731201774,59.91567388843826,0.0,6.883887838423024,2.7535551353692096,1.8357034235794734,1.0,50.0,0.0,True,False,False,True,True,True
27,secured_dos_delay,dos_delay,True,27.534730281373022,20.66454392364977,48.19927420502279,63.60194893420138,63.60194893420138,61.1375209775328,7.105427357601002e-15,9.241604837507156,3.696641935002862,2.4644279566685747,1.0,50.0,-7.105427357601002e-15,True,False,False,True,True,True
28,secured_dos_delay,dos_delay,True,28.31798187355151,21.36956609203138,49.687547965582894,62.76845303859616,62.76845303859616,60.67550822691403,0.0,7.8485430438079575,3.139417217523183,2.092944811682122,1.0,50.0,0.0,True,False,False,True,True,True
29,secured_dos_delay,dos_delay,True,32.59426688889527,18.494561314902583,51.08882820379785,62.32368172174259,62.32368172174259,60.52610515887143,0.0,6.740912110766841,2.6963648443067365,1.797576562871158,1.0,50.0,0.0,True,False,False,True,True,True
30,secured_dos_delay,dos_delay,True,27.33495842802246,19.969919553240928,47.30487798126339,65.96713267330998,65.96713267330998,62.98117192258252,0.0,11.197352815227953,4.478941126091181,2.985960750727454,1.0,50.0,0.0,True,False,False,True,True,True
31,secured_dos_delay,dos_delay,True,29.135863676442998,22.1934380293214,51.329301705764394,62.71370385325457,62.71370385325457,60.892199509656145,0.0,6.830641288494107,2.732256515397643,1.8215043435984284,1.0,50.0,0.0,True,False,False,True,True,True
32,secured_dos_delay,dos_delay,True,29.033083275751608,20.92296112875448,49.95604440450609,66.03360426255932,66.03360426255932,63.461194685270804,0.0,9.64653591483194,3.8586143659327767,2.572409577288518,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
33,secured_dos_delay,dos_delay,True,27.962501546071564,17.85769664148306,45.820198187554624,65.40545023693902,65.40545023693902,62.271809909037515,0.0,11.751151229630636,4.700460491852255,3.133640327901503,1.0,50.0,0.0,True,False,False,True,True,True
34,secured_dos_delay,dos_delay,True,30.805982479172894,20.282541520903735,51.08852400007663,63.510140272241856,63.510140272241856,61.52268166869542,0.0,7.452969763299134,2.981187905319654,1.987458603546436,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
35,secured_dos_delay,dos_delay,True,28.044897317969543,17.998478503440616,46.04337582141016,64.32675494377845,64.32675494377845,61.401414284199525,0.0,10.970027473420977,4.38801098936839,2.9253406595789277,1.0,50.0,0.0,True,False,False,True,True,True
36,secured_dos_delay,dos_delay,True,30.56868875980647,17.686185798383935,48.25487455819041,64.38267832582746,64.38267832582746,61.802229723005524,0.0,9.676682260582227,3.870672904232892,2.580448602821928,1.0,50.0,0.0,True,False,False,True,True,True
37,secured_dos_delay,dos_delay,True,27.344033532420074,20.62209365768764,47.96612719010771,65.2304348432401,65.2304348432401,62.46814561873892,0.0,10.358584591879435,4.143433836751774,2.762289224501183,1.0,50.0,0.0,True,False,False,True,True,True
38,secured_dos_delay,dos_delay,True,25.946236457208123,17.68424293278561,43.63047938999374,63.51773154880536,63.51773154880536,60.335771203395495,0.0,11.932351295286972,4.772940518114789,3.181960345409859,1.0,50.0,0.0,True,False,False,True,True,True
39,secured_dos_delay,dos_delay,True,28.565153386712737,20.63791782485643,49.20307121156917,65.51452862817347,65.51452862817347,62.90469544151678,0.0,9.786874449962578,3.9147497799850317,2.6098331866566884,1.0,50.0,0.0,True,False,False,True,True,True
40,secured_dos_delay,dos_delay,True,25.825969743906104,19.4824614570403,45.3084312009464,65.16023020691117,65.16023020691117,61.98394236595681,0.0,11.911079403578858,4.764431761431544,3.1762878409543625,1.0,50.0,0.0,True,False,False,True,True,True
41,secured_dos_delay,dos_delay,True,24.10687515340406,19.28792432352366,43.39479947692772,63.08326521345455,63.08326521345455,59.93311069561026,0.0,11.813079441916097,4.72523177676644,3.1501545178442933,1.0,50.0,0.0,True,False,False,True,True,True
42,secured_dos_delay,dos_delay,True,26.88123527252738,19.53929252969588,46.42052780222326,65.05911752035286,65.05911752035286,62.07694316545212,0.0,11.183153830877757,4.473261532351103,2.982174354900735,1.0,50.0,0.0,True,False,False,True,True,True
