time_step,scenario,attack_type,security_enabled,solar_generation,wind_generation,total_generation,true_load,reported_load,served_load,unmet_demand,reserve_used,storage_used,load_shed,voltage,frequency,imbalance,packet_received,packet_tampered,controller_data_trusted,used_fallback,anomaly_detected,command_authenticated
0,secured_dos_drop,dos_drop,True,0.04808503140455134,13.543629967609016,13.591714999013568,56.470429894180526,56.470429894180526,47.31894393611374,0.0,20.0,13.727228937100174,9.151485958066784,1.0,50.0,0.0,True,False,False,True,True,True
1,secured_dos_drop,dos_drop,True,1.4979920200719583,15.973469763540557,17.471461783612515,55.39684928732782,55.39684928732782,48.22669428584169,7.105427357601002e-15,20.0,10.755232502229179,7.170155001486121,1.0,50.0,-7.105427357601002e-15,False,False,False,True,False,True
2,secured_dos_drop,dos_drop,True,5.577778572274806,15.38723951258563,20.965018084860436,54.90126947026802,54.90126947026802,49.32676891610498,0.0,20.0,8.361750831244551,5.574500554163036,1.0,50.0,0.0,False,False,False,True,False,True
3,secured_dos_drop,dos_drop,True,3.0818797397079623,14.713143553594344,17.795023293302307,58.029410118187776,58.029410118187776,49.935655388233585,0.0,20.0,12.14063209493128,8.093754729954188,1.0,50.0,0.0,True,False,False,True,True,True
4,secured_dos_drop,dos_drop,True,4.057203029536578,14.389795997023231,18.44699902655981,57.13888671185957,57.13888671185957,49.66213163773966,0.0,20.0,11.215132611179856,7.476755074119906,1.0,50.0,0.0,True,False,False,True,True,True
5,secured_dos_drop,dos_drop,True,6.795555802595505,15.794235440984874,22.58979124358038,57.768614201798385,57.768614201798385,51.69708501851118,0.0,20.0,9.107293774930804,6.071529183287202,1.0,50.0,0.0,True,False,False,True,True,True
6,secured_dos_drop,dos_drop,True,7.28529814240268,14.30722550346301,21.59252364586569,57.54386233008723,57.54386233008723,51.16332685639861,0.0,20.0,9.570803210532924,6.3805354736886155,1.0,50.0,0.0,True,False,False,True,True,True
7,secured_dos_drop,dos_drop,True,8.600084165300583,18.877509189426846,27.47759335472743,58.623626576554415,58.623626576554415,53.64026126106209,0.0,18.68761993309619,7.475047973238477,4.9833653154923185,1.0,50.0,0.0,True,False,False,True,True,True
8,secured_dos_drop,dos_drop,True,9.271300518103885,19.029351398390467,28.300651916494353,59.84867703201352,59.84867703201352,54.80099301353045,0.0,18.9288150693115,7.571526027724599,5.047684018483067,1.0,50.0,7.105427357601002e-15,True,False,False,True,True,True
9,secured_dos_drop,dos_drop,True,10.677465234513516,14.110031131955159,24.787496366468673,58.53659627650366,58.53659627650366,53.036956312489664,0.0,20.0,8.249459946020991,5.499639964013994,1.0,50.0,0.0,True,False,False,True,True,True
